hidden_dim,num_layers,dropout,learning_rate,weight_decay,batch_size,max_epochs,patience,best_epoch,train_rmse,train_r2,train_pearson,val_rmse,val_r2,val_pearson,test_rmse,test_r2,test_pearson,trial,elapsed_seconds
64,6,0.05,0.001,1e-05,32,300,50,36,0.47219984229043593,0.7849009037017822,0.8913388852115421,0.6009169991934514,0.5455158948898315,0.7506374024857343,0.7181832110497913,0.1859554648399353,0.6044233512179847,62,69.52
128,4,0.15,0.001,1e-06,32,300,50,51,0.4825643722800228,0.7753546237945557,0.8878755566398626,0.6015689651340013,0.5445290803909302,0.7580112207407192,0.7073667794420828,0.21029114723205566,0.6431884613575689,124,67.08
128,6,0.05,0.0005,1e-06,32,300,50,26,0.46484439112514875,0.7915498614311218,0.8974998112262014,0.605336131676887,0.538806676864624,0.7564619788606091,0.7203814194284183,0.18096458911895752,0.6427721066282701,139,66.63
256,2,0.15,0.001,0.0001,32,300,50,42,0.43017339110387,0.8214852809906006,0.9248622365111798,0.6074834222062248,0.5355290174484253,0.7433375696052823,0.7081161100497871,0.20861715078353882,0.6283468767460598,180,58.61
128,4,0.05,0.001,1e-06,32,300,50,32,0.49446737470509705,0.7641356587409973,0.9163574311153447,0.6087907778263251,0.5335276126861572,0.7552423851292183,0.7410148190266234,0.13337451219558716,0.6305144952418446,115,38.81
128,4,0.05,0.0005,0.0001,32,300,50,38,0.39268860282542734,0.851240873336792,0.9274820742879788,0.6105008362382415,0.5309033989906311,0.7585446986541948,0.7446312275834719,0.12489497661590576,0.6280089629450719,114,42.22
128,4,0.2,0.001,1e-06,32,300,50,87,0.45235889719109407,0.8025972247123718,0.9088839678804069,0.6109683650969051,0.5301846265792847,0.7529277740769916,0.762136843453698,0.08326542377471924,0.6030642480769722,133,90.71
128,4,0.2,0.0005,0.0001,32,300,50,38,0.5462115759614952,0.7121881246566772,0.8447134938410226,0.6119295519473449,0.5287052392959595,0.7447423943057472,0.6944277202393753,0.23891741037368774,0.6286628822718827,132,59.39
64,6,0.2,0.001,1e-05,32,300,50,108,0.5100375506190286,0.7490476369857788,0.8775086737421023,0.6127830717343836,0.5273895859718323,0.7453126190489933,0.7169314889510352,0.18879055976867676,0.5960791447688036,80,95.06
256,6,0.05,0.0001,1e-05,32,300,50,26,0.5391055103779642,0.719628095626831,0.8569207641370842,0.6139995717426137,0.5255112648010254,0.7386526405176813,0.6461937934147667,0.3409729599952698,0.6832606967040549,218,109.07
256,6,0.2,0.0005,1e-05,32,300,50,34,0.5997560800019184,0.6529945731163025,0.81248875530744,0.61496217549317,0.5240223407745361,0.7323160964173878,0.6971704540964485,0.23289352655410767,0.6295584379487784,239,91.92
64,2,0.05,0.001,0.0001,32,300,50,36,0.4616512655909529,0.7944038510322571,0.8948119498558471,0.6160587902826222,0.5223232507705688,0.733626577903894,0.7073382138051828,0.21035492420196533,0.6277444234187509,9,40.37
64,6,0.2,0.0005,1e-05,32,300,50,50,0.636773323575486,0.6088379621505737,0.8000580123299126,0.6179674748963367,0.51935875415802,0.7221483770465886,0.7444888123849528,0.12522971630096436,0.584184988068185,77,97.51
128,4,0.2,0.0005,1e-05,32,300,50,75,0.5158984586199106,0.7432470321655273,0.870634759318023,0.6192787088631831,0.5173169374465942,0.7339152727814872,0.668915306587812,0.29381263256073,0.6597021144650761,131,89.8
128,4,0.05,0.001,1e-05,32,300,50,41,0.37167433445694426,0.8667362332344055,0.9329356649367455,0.6197319215674469,0.5166101455688477,0.7509840842123834,0.7421671814395956,0.1306769847869873,0.6308483600964515,116,45.65
128,6,0.05,0.0005,0.0001,32,300,50,41,0.3893804560810232,0.8537367582321167,0.9320860381215463,0.6201838419978496,0.5159049034118652,0.7438926971008781,0.7742576874181046,0.05387455224990845,0.5952150917755568,141,80.62
128,6,0.05,0.0005,1e-05,32,300,50,32,0.4405009345305594,0.8128108978271484,0.9166335131400668,0.6203134301320364,0.5157026052474976,0.7401405555302003,0.6548460747857994,0.3232065439224243,0.6764056275076504,140,72.21
256,2,0.05,0.0005,1e-06,32,300,50,32,0.4752244299933405,0.7821364998817444,0.9194321151681487,0.6206394429365457,0.5151934027671814,0.7420399925760414,0.736206692262227,0.1445842981338501,0.6287306672405049,166,51.98
64,6,0.2,0.001,0.0001,32,300,50,55,0.5301124792133761,0.7289040684700012,0.8551651012550423,0.6213547020457142,0.5140753388404846,0.7295220851123898,0.7007970206400931,0.22489207983016968,0.6415882954159227,81,54.82
64,4,0.15,0.001,1e-06,32,300,50,35,0.5801323245637616,0.6753307580947876,0.8479571920203334,0.6242432304232202,0.5095469355583191,0.7185555059992419,0.7034518647729032,0.219008207321167,0.6105195787836729,43,51.33
256,2,0.15,0.0005,1e-06,32,300,50,30,0.520406344545292,0.7387404441833496,0.8704118570100445,0.6249605404795157,0.5084191560745239,0.7372468532137995,0.6798394132075579,0.2705586552619934,0.66539010518886,175,50.9
256,6,0.05,0.0001,1e-06,32,300,50,31,0.4578522700719327,0.7977736592292786,0.8968660070385409,0.627027227948253,0.5051625370979309,0.7405279539317283,0.6884730778599204,0.251913845539093,0.6759101565218905,217,116.8
64,6,0.05,0.0005,1e-06,32,300,50,44,0.3903494244313385,0.8530079126358032,0.9260402786455167,0.6271509351653881,0.5049672722816467,0.7339931242638192,0.689378339909809,0.2499452829360962,0.6386863553122561,58,81.68
